,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
460,8,15,5,2,1,29,10,11,22,25,18
461,15,5,2,1,29,10,11,22,25,18,11
462,5,2,1,29,10,11,22,25,18,11,33
463,2,1,29,10,11,22,25,18,11,33,6
464,1,29,10,11,22,25,18,11,33,6,22
465,29,10,11,22,25,18,11,33,6,22,13
466,10,11,22,25,18,11,33,6,22,13,13
467,11,22,25,18,11,33,6,22,13,13,2
468,22,25,18,11,33,6,22,13,13,2,1
469,25,18,11,33,6,22,13,13,2,1,3
470,18,11,33,6,22,13,13,2,1,3,8
471,11,33,6,22,13,13,2,1,3,8,4
472,33,6,22,13,13,2,1,3,8,4,21
473,6,22,13,13,2,1,3,8,4,21,1
474,22,13,13,2,1,3,8,4,21,1,4
475,13,13,2,1,3,8,4,21,1,4,7
476,13,2,1,3,8,4,21,1,4,7,23
477,2,1,3,8,4,21,1,4,7,23,1
478,1,3,8,4,21,1,4,7,23,1,22
479,3,8,4,21,1,4,7,23,1,22,3
480,8,4,21,1,4,7,23,1,22,3,2
481,4,21,1,4,7,23,1,22,3,2,6
482,21,1,4,7,23,1,22,3,2,6,14
483,1,4,7,23,1,22,3,2,6,14,17
484,4,7,23,1,22,3,2,6,14,17,26
485,7,23,1,22,3,2,6,14,17,26,2
486,23,1,22,3,2,6,14,17,26,2,9
487,15,17,40,4,27,30,15,14,7,41,8
488,17,40,4,27,30,15,14,7,41,8,13
489,40,4,27,30,15,14,7,41,8,13,7
490,4,27,30,15,14,7,41,8,13,7,12
491,27,30,15,14,7,41,8,13,7,12,20
492,30,15,14,7,41,8,13,7,12,20,6
493,15,14,7,41,8,13,7,12,20,6,28
494,14,7,41,8,13,7,12,20,6,28,7
495,7,41,8,13,7,12,20,6,28,7,11
496,41,8,13,7,12,20,6,28,7,11,51
497,8,13,7,12,20,6,28,7,11,51,2
498,13,7,12,20,6,28,7,11,51,2,20
499,7,12,20,6,28,7,11,51,2,20,26
500,12,20,6,28,7,11,51,2,20,26,14
501,20,6,28,7,11,51,2,20,26,14,4
502,6,28,7,11,51,2,20,26,14,4,13
503,28,7,11,51,2,20,26,14,4,13,42
504,7,11,51,2,20,26,14,4,13,42,4
505,11,51,2,20,26,14,4,13,42,4,26
506,51,2,20,26,14,4,13,42,4,26,49
507,2,20,26,14,4,13,42,4,26,49,16
508,20,26,14,4,13,42,4,26,49,16,15
509,26,14,4,13,42,4,26,49,16,15,37
510,14,4,13,42,4,26,49,16,15,37,14
511,4,13,42,4,26,49,16,15,37,14,35
512,13,42,4,26,49,16,15,37,14,35,32
513,11,22,16,13,6,14,20,52,19,40,6
514,22,16,13,6,14,20,52,19,40,6,13
515,16,13,6,14,20,52,19,40,6,13,10
516,13,6,14,20,52,19,40,6,13,10,9
517,6,14,20,52,19,40,6,13,10,9,9
518,14,20,52,19,40,6,13,10,9,9,28
519,20,52,19,40,6,13,10,9,9,28,56
520,52,19,40,6,13,10,9,9,28,56,36
521,19,40,6,13,10,9,9,28,56,36,13
522,40,6,13,10,9,9,28,56,36,13,33
523,6,13,10,9,9,28,56,36,13,33,21
524,13,10,9,9,28,56,36,13,33,21,9
525,10,9,9,28,56,36,13,33,21,9,5
526,9,9,28,56,36,13,33,21,9,5,15
527,9,28,56,36,13,33,21,9,5,15,5
528,28,56,36,13,33,21,9,5,15,5,19
529,56,36,13,33,21,9,5,15,5,19,3
530,36,13,33,21,9,5,15,5,19,3,6
531,13,33,21,9,5,15,5,19,3,6,57
532,33,21,9,5,15,5,19,3,6,57,8
533,21,9,5,15,5,19,3,6,57,8,33
534,9,5,15,5,19,3,6,57,8,33,43
535,5,15,5,19,3,6,57,8,33,43,14
536,15,5,19,3,6,57,8,33,43,14,50
537,5,19,3,6,57,8,33,43,14,50,29
538,19,3,6,57,8,33,43,14,50,29,26
539,3,6,57,8,33,43,14,50,29,26,18
540,6,57,8,33,43,14,50,29,26,18,56
541,57,8,33,43,14,50,29,26,18,56,4
542,8,33,43,14,50,29,26,18,56,4,21
543,33,43,14,50,29,26,18,56,4,21,11
544,43,14,50,29,26,18,56,4,21,11,22
545,14,50,29,26,18,56,4,21,11,22,40
546,50,29,26,18,56,4,21,11,22,40,29
547,29,26,18,56,4,21,11,22,40,29,34
548,26,18,56,4,21,11,22,40,29,34,10
549,18,56,4,21,11,22,40,29,34,10,6
550,56,4,21,11,22,40,29,34,10,6,5
551,4,21,11,22,40,29,34,10,6,5,19
552,21,11,22,40,29,34,10,6,5,19,5
553,11,22,40,29,34,10,6,5,19,5,50
554,22,40,29,34,10,6,5,19,5,50,11
555,40,29,34,10,6,5,19,5,50,11,32
556,29,34,10,6,5,19,5,50,11,32,18
557,34,10,6,5,19,5,50,11,32,18,49
558,10,6,5,19,5,50,11,32,18,49,41
559,6,5,19,5,50,11,32,18,49,41,13
560,5,19,5,50,11,32,18,49,41,13,20
561,19,5,50,11,32,18,49,41,13,20,20
562,5,50,11,32,18,49,41,13,20,20,33
563,50,11,32,18,49,41,13,20,20,33,12
564,11,32,18,49,41,13,20,20,33,12,3
565,32,18,49,41,13,20,20,33,12,3,8
566,18,49,41,13,20,20,33,12,3,8,29
567,49,41,13,20,20,33,12,3,8,29,34
568,41,13,20,20,33,12,3,8,29,34,18
569,13,20,20,33,12,3,8,29,34,18,5
570,20,20,33,12,3,8,29,34,18,5,22
571,20,33,12,3,8,29,34,18,5,22,13
572,33,12,3,8,29,34,18,5,22,13,41
573,12,3,8,29,34,18,5,22,13,41,16
574,3,8,29,34,18,5,22,13,41,16,8
575,8,29,34,18,5,22,13,41,16,8,12
576,29,34,18,5,22,13,41,16,8,12,17
577,34,18,5,22,13,41,16,8,12,17,29
578,18,5,22,13,41,16,8,12,17,29,5
579,5,22,13,41,16,8,12,17,29,5,4
